series,timestamp,value,label
Set,2020-05-25T00:00:00.000Z,680,
Rise,2020-05-25T00:00:00.000Z,300,
Set,2020-05-26T00:00:00.000Z,665,
Rise,2020-05-26T00:00:00.000Z,320,
Set,2020-05-27T00:00:00.000Z,670,
Rise,2020-05-27T00:00:00.000Z,310,
Set,2020-05-28T00:00:00.000Z,655,
Rise,2020-05-28T00:00:00.000Z,315,
Set,2020-05-29T00:00:00.000Z,665,
Rise,2020-05-29T00:00:00.000Z,315,
Set,2020-05-30T00:00:00.000Z,660,
Rise,2020-05-30T00:00:00.000Z,325,
Set,2020-05-31T00:00:00.000Z,650,
Rise,2020-05-31T00:00:00.000Z,320,
Set,2020-06-01T00:00:00.000Z,655,
Rise,2020-06-01T00:00:00.000Z,325,
Set,2020-06-02T00:00:00.000Z,660,
Rise,2020-06-02T00:00:00.000Z,325,
Set,2020-06-03T00:00:00.000Z,650,
Rise,2020-06-03T00:00:00.000Z,325,
Set,2020-06-04T00:00:00.000Z,695,Delete
Rise,2020-06-04T00:00:00.000Z,310,Delete
Set,2020-06-05T00:00:00.000Z,670,
Rise,2020-06-05T00:00:00.000Z,345,
Set,2020-06-06T00:00:00.000Z,685,Delete
Rise,2020-06-06T00:00:00.000Z,335,
Set,2020-06-07T00:00:00.000Z,665,
Rise,2020-06-07T00:00:00.000Z,295,Delete
Set,2020-06-08T00:00:00.000Z,660,
Rise,2020-06-08T00:00:00.000Z,320,Delete
Set,2020-06-09T00:00:00.000Z,650,
Rise,2020-06-09T00:00:00.000Z,315,Delete
Set,2020-06-10T00:00:00.000Z,650,
Rise,2020-06-10T00:00:00.000Z,340,
Set,2020-06-11T00:00:00.000Z,615,Delete
Rise,2020-06-11T00:00:00.000Z,335,Delete
Set,2020-06-12T00:00:00.000Z,720,
Rise,2020-06-12T00:00:00.000Z,350,
Set,2020-06-13T00:00:00.000Z,745,
Rise,2020-06-13T00:00:00.000Z,315,Delete
Set,2020-06-14T00:00:00.000Z,755,
Rise,2020-06-14T00:00:00.000Z,365,
Set,2020-06-15T00:00:00.000Z,755,
Rise,2020-06-15T00:00:00.000Z,370,
Set,2020-06-16T00:00:00.000Z,770,
Rise,2020-06-16T00:00:00.000Z,365,
Set,2020-06-17T00:00:00.000Z,775,
Rise,2020-06-17T00:00:00.000Z,370,
Set,2020-06-18T00:00:00.000Z,765,
Rise,2020-06-18T00:00:00.000Z,350,Delete
Set,2020-06-19T00:00:00.000Z,770,
Rise,2020-06-19T00:00:00.000Z,375,
Set,2020-06-20T00:00:00.000Z,755,
Rise,2020-06-20T00:00:00.000Z,375,
Set,2020-06-21T00:00:00.000Z,765,
Rise,2020-06-21T00:00:00.000Z,360,Delete
Set,2020-06-22T00:00:00.000Z,765,
Rise,2020-06-22T00:00:00.000Z,370,
Set,2020-06-23T00:00:00.000Z,750,
Rise,2020-06-23T00:00:00.000Z,380,
Set,2020-06-24T00:00:00.000Z,760,
Rise,2020-06-24T00:00:00.000Z,375,
Set,2020-06-25T00:00:00.000Z,745,
Rise,2020-06-25T00:00:00.000Z,375,
Set,2020-06-26T00:00:00.000Z,765,
Rise,2020-06-26T00:00:00.000Z,375,
Set,2020-06-27T00:00:00.000Z,760,
Rise,2020-06-27T00:00:00.000Z,385,
Set,2020-06-28T00:00:00.000Z,770,
Rise,2020-06-28T00:00:00.000Z,360,
Set,2020-06-29T00:00:00.000Z,760,
Rise,2020-06-29T00:00:00.000Z,360,
Set,2020-06-30T00:00:00.000Z,775,
Rise,2020-06-30T00:00:00.000Z,360,
Set,2020-07-01T00:00:00.000Z,775,
Rise,2020-07-01T00:00:00.000Z,360,
Set,2020-07-02T00:00:00.000Z,780,
Rise,2020-07-02T00:00:00.000Z,370,
Set,2020-07-03T00:00:00.000Z,785,
Rise,2020-07-03T00:00:00.000Z,365,
Set,2020-07-04T00:00:00.000Z,785,
Rise,2020-07-04T00:00:00.000Z,350,Delete
Set,2020-07-05T00:00:00.000Z,800,Delete
Rise,2020-07-05T00:00:00.000Z,360,
Set,2020-07-06T00:00:00.000Z,775,
Rise,2020-07-06T00:00:00.000Z,360,
Set,2020-07-07T00:00:00.000Z,765,
Rise,2020-07-07T00:00:00.000Z,340,Delete
Set,2020-07-08T00:00:00.000Z,775,
Rise,2020-07-08T00:00:00.000Z,365,
Set,2020-07-09T00:00:00.000Z,795,
Rise,2020-07-09T00:00:00.000Z,355,
Set,2020-07-10T00:00:00.000Z,810,Delete
Rise,2020-07-10T00:00:00.000Z,355,
Set,2020-07-11T00:00:00.000Z,780,
Rise,2020-07-11T00:00:00.000Z,360,
Set,2020-07-12T00:00:00.000Z,770,
Rise,2020-07-12T00:00:00.000Z,365,
Set,2020-07-13T00:00:00.000Z,775,
Rise,2020-07-13T00:00:00.000Z,360,
Set,2020-07-14T00:00:00.000Z,780,
Rise,2020-07-14T00:00:00.000Z,360,
Set,2020-07-15T00:00:00.000Z,805,
Rise,2020-07-15T00:00:00.000Z,365,
Set,2020-07-16T00:00:00.000Z,775,
Rise,2020-07-16T00:00:00.000Z,325,Delete
Set,2020-07-17T00:00:00.000Z,790,
Rise,2020-07-17T00:00:00.000Z,325,Delete
Set,2020-07-18T00:00:00.000Z,810,
Rise,2020-07-18T00:00:00.000Z,315,Delete
Set,2020-07-19T00:00:00.000Z,800,
Rise,2020-07-19T00:00:00.000Z,345,
Set,2020-07-20T00:00:00.000Z,810,
Rise,2020-07-20T00:00:00.000Z,360,
Set,2020-07-21T00:00:00.000Z,815,
Rise,2020-07-21T00:00:00.000Z,365,
Set,2020-07-22T00:00:00.000Z,805,
Rise,2020-07-22T00:00:00.000Z,340,
Set,2020-07-23T00:00:00.000Z,845,Delete
Rise,2020-07-23T00:00:00.000Z,340,
Set,2020-07-24T00:00:00.000Z,820,
